idno,stflife,gndr,cntry
12971,4,2,BG
12987,6,1,BG
12989,0,2,BG
13007,5,1,BG
13012,3,1,BG
13017,8,1,BG
13019,0,2,BG
13029,6,1,BG
13030,7,1,BG
13037,9,1,BG
13039,0,2,BG
13047,7,2,BG
13054,3,2,BG
13066,5,1,BG
13068,8,2,BG
13082,10,2,BG
13089,8,1,BG
13104,9,1,BG
13108,7,2,BG
13123,6,2,BG
13125,7,2,BG
13127,5,1,BG
13168,4,2,BG
13169,3,1,BG
13185,2,1,BG
13186,3,1,BG
13187,7,2,BG
13192,6,1,BG
13193,5,2,BG
13197,8,1,BG
13215,9,2,BG
13217,7,2,BG
13226,3,2,BG
13227,7,1,BG
13228,4,1,BG
13232,6,2,BG
13252,7,2,BG
13258,8,1,BG
13260,6,1,BG
13268,5,1,BG
13272,8,1,BG
13282,7,1,BG
13288,8,2,BG
13298,8,2,BG
13303,5,1,BG
13325,7,2,BG
13329,9,1,BG
13330,6,2,BG
13331,9,2,BG
13332,2,2,BG
13334,10,1,BG
13337,9,2,BG
13338,8,2,BG
13340,2,1,BG
13352,4,1,BG
13371,3,2,BG
13377,5,2,BG
13381,3,2,BG
13384,NA,2,BG
13405,5,2,BG
13406,6,1,BG
13408,4,2,BG
13426,7,1,BG
13427,8,2,BG
13432,0,2,BG
13437,6,1,BG
13441,5,1,BG
13443,8,2,BG
13455,4,2,BG
13459,9,2,BG
13466,8,2,BG
13477,8,1,BG
13484,9,2,BG
13500,8,1,BG
13502,10,1,BG
13508,4,1,BG
13510,4,2,BG
13513,5,1,BG
13535,7,1,BG
13552,5,1,BG
13572,3,1,BG
13582,3,2,BG
13586,5,2,BG
13589,8,1,BG
13590,6,1,BG
13592,3,2,BG
13602,6,2,BG
13605,7,2,BG
13607,7,2,BG
13619,5,2,BG
13628,5,2,BG
13629,7,1,BG
13632,5,1,BG
13637,5,2,BG
13638,3,2,BG
13639,0,1,BG
13653,8,2,BG
13665,9,2,BG
13666,1,1,BG
13667,6,1,BG
13675,6,2,BG
13688,7,1,BG
13689,8,1,BG
13691,10,2,BG
13698,5,1,BG
13699,5,2,BG
13711,5,1,BG
13725,8,2,BG
13726,4,1,BG
13737,4,2,BG
13749,6,1,BG
13752,5,1,BG
13757,8,1,BG
13763,8,2,BG
13777,4,2,BG
13793,9,1,BG
13795,7,2,BG
13796,8,2,BG
13802,3,1,BG
13804,6,1,BG
13809,10,1,BG
13815,9,2,BG
13824,5,2,BG
13840,8,1,BG
13848,6,2,BG
13849,5,2,BG
13862,6,1,BG
13863,10,2,BG
13870,8,1,BG
13882,8,2,BG
13884,6,1,BG
13886,4,1,BG
13889,6,1,BG
13892,10,2,BG
13913,5,2,BG
13923,5,1,BG
13939,9,2,BG
13950,7,1,BG
13951,5,1,BG
13967,0,2,BG
13979,7,2,BG
13992,5,1,BG
13994,8,1,BG
14001,4,2,BG
14002,2,1,BG
14014,6,1,BG
14020,9,1,BG
14025,5,1,BG
14032,5,1,BG
14036,5,2,BG
14044,NA,1,BG
14051,5,1,BG
14052,3,2,BG
14065,0,1,BG
14072,9,2,BG
14078,9,2,BG
14083,2,2,BG
14084,4,1,BG
14090,8,1,BG
14096,7,1,BG
14097,7,1,BG
14098,8,2,BG
14102,NA,1,BG
14106,0,1,BG
14115,5,1,BG
14123,8,1,BG
14126,6,2,BG
14130,5,1,BG
14136,6,1,BG
14148,8,2,BG
14150,6,2,BG
14159,4,1,BG
14170,8,1,BG
14175,6,2,BG
14180,6,2,BG
14188,8,2,BG
14191,5,2,BG
14192,10,1,BG
14195,5,1,BG
14200,6,2,BG
14206,8,1,BG
14217,8,1,BG
14230,7,1,BG
14234,7,1,BG
14243,8,1,BG
14267,7,1,BG
14272,4,2,BG
14273,6,2,BG
14284,6,1,BG
14293,5,2,BG
14304,8,1,BG
14305,6,2,BG
14310,7,2,BG
14311,7,1,BG
14328,9,2,BG
14342,5,2,BG
14344,6,2,BG
14352,10,1,BG
14364,9,2,BG
14369,5,1,BG
14377,8,2,BG
14380,5,1,BG
14386,8,2,BG
14387,5,2,BG
14388,3,1,BG
14390,10,1,BG
14395,6,2,BG
14400,2,2,BG
14402,8,2,BG
14403,2,1,BG
14408,0,2,BG
14410,7,1,BG
14414,9,1,BG
14444,8,2,BG
14445,7,2,BG
14458,10,1,BG
14468,9,1,BG
14470,3,1,BG
14475,0,2,BG
14481,7,1,BG
14487,10,2,BG
14497,6,2,BG
14500,7,2,BG
14504,6,2,BG
14509,5,1,BG
14510,2,1,BG
14517,5,1,BG
14518,4,1,BG
14524,5,2,BG
14526,5,1,BG
14531,5,1,BG
14543,7,1,BG
14544,7,1,BG
14546,6,2,BG
14547,5,2,BG
14548,5,2,BG
14564,2,1,BG
14573,8,2,BG
14575,8,2,BG
14577,9,2,BG
14579,8,2,BG
14597,8,1,BG
14603,8,2,BG
14624,7,1,BG
14625,0,1,BG
14627,1,2,BG
14631,2,2,BG
14634,6,2,BG
14648,5,2,BG
14668,5,1,BG
14692,9,2,BG
14695,5,2,BG
14697,5,1,BG
14709,0,2,BG
14711,5,2,BG
14722,8,1,BG
14729,5,1,BG
14737,3,1,BG
14745,6,1,BG
14748,10,1,BG
14760,7,1,BG
14775,6,2,BG
14780,7,2,BG
14785,10,1,BG
14792,8,1,BG
14805,9,2,BG
14806,10,2,BG
14815,4,2,BG
14817,4,2,BG
14822,6,1,BG
14824,8,1,BG
14829,2,2,BG
14834,0,1,BG
14837,4,1,BG
14838,7,2,BG
14843,7,2,BG
14844,6,2,BG
14851,2,2,BG
14854,7,2,BG
14860,6,1,BG
14864,5,2,BG
14867,9,2,BG
14872,7,2,BG
14880,5,2,BG
14883,4,1,BG
14898,2,2,BG
14907,8,1,BG
14914,7,2,BG
14940,7,2,BG
14946,3,2,BG
14957,8,2,BG
14962,8,2,BG
14975,6,2,BG
14999,5,1,BG
15008,5,2,BG
15020,0,1,BG
15021,8,2,BG
15034,7,2,BG
15044,10,1,BG
15051,1,2,BG
15059,0,2,BG
15063,10,1,BG
15078,2,1,BG
15080,9,1,BG
15086,4,2,BG
15087,5,2,BG
15106,8,2,BG
15108,2,2,BG
15109,0,2,BG
15115,8,1,BG
15129,8,1,BG
15135,9,2,BG
15144,8,1,BG
15151,8,2,BG
15163,10,1,BG
15164,9,1,BG
15165,8,1,BG
15166,9,1,BG
15169,5,1,BG
15196,10,1,BG
15208,10,1,BG
15217,1,2,BG
